Participant,Situation,RatingPlayer1,RatingPlayer2,ExperiencedOrder,Experiment
31,4,62,60,3,penalty
31,5,21,64,8,penalty
31,6,58,78,5,penalty
31,7,12,20,6,penalty
31,8,22,71,7,penalty
32,1,10,96,2,penalty
32,2,40,97,1,penalty
32,3,27,75,3,penalty
32,4,50,95,4,penalty
32,5,74,96,6,penalty
32,6,81,97,8,penalty
32,7,15,32,7,penalty
32,8,20,48,5,penalty
33,1,44,0,1,penalty
33,2,74,98,2,penalty
33,3,51,43,4,penalty
33,4,63,80,3,penalty
33,5,20,0,7,penalty
33,6,67,95,5,penalty
33,7,46,36,6,penalty
33,8,69,74,8,penalty
34,1,13,59,1,penalty
34,2,79,87,2,penalty
34,3,35,50,4,penalty
34,4,72,80,3,penalty
34,5,35,87,5,penalty
34,6,72,88,6,penalty
34,7,13,41,8,penalty
34,8,73,73,7,penalty
35,1,100,100,1,penalty
35,2,100,100,2,penalty
35,3,55,100,3,penalty
35,4,100,100,4,penalty
35,5,100,100,5,penalty
35,6,100,100,7,penalty
35,7,12,34,6,penalty
35,8,100,100,8,penalty
36,1,12,100,2,penalty
36,2,100,76,1,penalty
36,3,18,30,4,penalty
36,4,90,90,3,penalty
36,5,30,81,5,penalty
36,6,67,39,6,penalty
36,7,86,41,7,penalty
36,8,28,54,8,penalty
37,1,49,77,2,penalty
37,2,66,100,1,penalty
37,3,65,48,3,penalty
37,4,68,90,4,penalty
37,5,60,84,7,penalty
37,6,84,98,8,penalty
37,7,87,45,6,penalty
37,8,65,66,5,penalty
38,1,7,94,1,penalty
38,2,54,96,2,penalty
38,3,43,44,3,penalty
38,4,81,84,4,penalty
38,5,51,84,7,penalty
38,6,82,95,5,penalty
38,7,15,35,6,penalty
38,8,52,56,8,penalty
39,1,0,75,1,penalty
39,2,67,91,2,penalty
39,3,40,48,4,penalty
39,4,82,88,3,penalty
39,5,60,76,8,penalty
39,6,63,73,5,penalty
39,7,8,20,6,penalty
39,8,47,72,7,penalty
40,1,21,86,2,penalty
40,2,17,84,1,penalty
40,3,23,48,4,penalty
40,4,76,81,3,penalty
40,5,59,88,8,penalty
40,6,74,82,5,penalty
40,7,17,34,6,penalty
40,8,73,86,7,penalty
41,1,28,26,2,penalty
41,2,67,91,1,penalty
41,3,37,71,3,penalty
41,4,63,79,4,penalty
41,5,74,77,6,penalty
41,6,75,87,7,penalty
41,7,23,16,5,penalty
41,8,66,81,8,penalty
1,1,47,32,2,spinner
1,2,77,67,1,spinner
1,3,53,75,3,spinner
1,4,71,72,4,spinner
1,5,52,54,7,spinner
1,6,53,77,8,spinner
1,7,47,54,5,spinner
1,8,49,56,6,spinner
2,1,1,2,1,spinner
2,2,100,3,2,spinner
2,3,9,26,4,spinner
2,4,8,35,3,spinner
2,5,5,13,6,spinner
2,6,14,4,8,spinner
2,7,9,30,5,spinner
2,8,58,65,7,spinner
3,1,25,71,2,spinner
3,2,72,15,1,spinner
3,3,40,65,4,spinner
3,4,58,34,3,spinner
3,5,59,85,7,spinner
3,6,36,17,8,spinner
3,7,16,28,5,spinner
3,8,75,57,6,spinner
4,1,0,80,1,spinner
4,2,81,0,2,spinner
4,3,60,0,3,spinner
4,4,60,0,4,spinner
4,5,71,89,5,spinner
4,6,0,0,6,spinner
4,7,0,0,7,spinner
4,8,82,72,8,spinner
5,1,28,97,2,spinner
5,2,100,100,1,spinner
5,3,56,85,4,spinner
5,4,96,72,3,spinner
5,5,68,93,5,spinner
5,6,91,100,8,spinner
5,7,25,68,7,spinner
5,8,98,90,6,spinner
6,1,18,84,1,spinner
6,2,92,45,2,spinner
6,3,37,69,3,spinner
6,4,76,39,4,spinner
6,5,20,25,8,spinner
6,6,39,30,6,spinner
6,7,91,32,5,spinner
6,8,90,90,7,spinner
